ORIG_INDEX,Unnamed: 0,Name,CAS,Year,Status,Is_a_Metabolite,Has_a_Metabolite,Route,VD(liter),Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),SMILES,ChEMBL_ID,pKa_acidic_cx,pKa_basic_cx,IonType,Tmax,Cmax_uM,log_t1/2(hour),log_VD(liter),log_Cl(liter/hour),log_Cmax_uM,logit_F(percentage),logit_PPB(percentage),log_Tmax,NAME_NORM,LogP,MW,BCS_Candidate
612,612,PALONOSETRON,135729-61-2,2003,,,,INTRAVENOUS ORAL INJECTION ,539.5,10.4,40.0,62.0,97.0,18.9,NANOMOLAR,5.1,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,CHEMBL1189679,,7.97,Cationic,5.1,0.0189,1.6020600021853242,2.731991449823924,1.0170333810578631,-1.7235152178906163,1.5096504795465824,0.2126080928814437,0.7075702612537088,PALONOSETRON,2.656500000000001,296.414,Class I/III (High Solubility)
613,613,GEFITINIB,184475-35-2,2003,,,,ORAL ,1400.0,35.7,48.0,90.0,60.0,,,5,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,CHEMBL939,,6.85,Neutral,5.0,,1.6812412464233888,3.1461280359884483,1.5526682282773046,,0.1760912590556812,0.9542425094393248,0.6989700911949065,GEFITINIB,4.275600000000003,446.9100000000004,Class I/III (High Solubility)
614,614,VARDENAFIL,224785-90-4,2003,,,,ORAL ,208.0,56.0,4.5,95.0,15.0,36.8,NANOMOLAR,1 ;,CCCc1nc(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nn12.Cl,CHEMBL1520,11.75,6.21,Neutral,1.0,0.0368,0.6532126102852178,2.318063337050716,1.748188034761459,-1.434140380006339,-0.7533276666586115,1.2787536009528289,4.3429426472042774e-07,VARDENAFIL,2.904520000000002,525.0750000000004,Class I/III (High Solubility)
615,615,ATOMOXETINE,83015-26-3,2002,,,,ORAL ,55.0,22.7,5.2,98.0,63.0,,,1.5,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl,CHEMBL641,,9.8,Cationic,1.5,,0.7160034271529607,1.740362697390507,1.356025876325038,,0.2311388253865867,1.6901960800285136,0.1760915485852393,ATOMOXETINE,4.146420000000004,291.82199999999995,Class I/III (High Solubility)
616,616,DULOXETINE,116539-59-4,2004,,,,ORAL ,1640.0,94.7,12.0,90.0,,,,6,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1.Cl,CHEMBL1175,,9.7,Cationic,6.0,,1.07918128223883,3.2148438483125115,1.9763499835892764,,,0.9542425094393248,0.7781513227660513,DULOXETINE,5.052700000000004,333.884,Class II (Low Sol/High Perm)
617,617,ACAMPROSATE,77337-76-9,2004,,,,ORAL ,90.5,2.3,26.5,0.0,11.0,,,5.5,CC(=O)NCCCS(=O)(=O)O,CHEMBL1201293,-0.88,,Anionic,5.5,,1.4232458903252785,1.9566485840040373,0.3617280248412396,,-0.9079973214866878,-2.9995654882259823,0.7403627684568698,ACAMPROSATE,-0.5995999999999997,181.213,Class I/III (High Solubility)
618,618,ARIPIPRAZOLE,129722-12-9,2002,, 1804 ,,ORAL INTRAMUSCULAR ,404.0,3.2,75.0,99.0,87.0,,,4 ;,CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,CHEMBL1112,13.51,7.46,Cationic,4.0,,1.875061269182293,2.6063813661855915,0.5051501140369105,,0.8255759003117817,1.99563519459755,0.6020600999015693,ARIPIPRAZOLE,8.675400000000007,660.7270000000002,Class IV (Low Sol/Low Perm)
619,619,EPLERENONE,107724-20-9,2002,,,,ORAL ,66.5,10.0,5.0,50.0,69.0,,,1.5,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,CHEMBL1095097,,,Neutral,1.5,,0.6989700911949065,1.8228216518338487,1.000000043429446,,0.3474873969029826,0.0,0.1760915485852393,EPLERENONE,3.124500000000002,414.4980000000003,Class I/III (High Solubility)
620,620,EZETIMIBE,163222-33-1,2002,,,,ORAL ,,,22.0,90.0,,13.4,NANOMOLAR,8,O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,CHEMBL1138,9.48,,Neutral,8.0,0.0134,1.3424227005628642,,,-1.8728627928084989,,0.9542425094393248,0.9030900412787504,EZETIMIBE,4.888300000000004,409.4320000000001,Class I/III (High Solubility)
621,621,PREGABALIN,148553-50-8,2004,,,,ORAL ,32.5,3.7,6.0,0.0,90.0,,,1.5,CC(C)C[C@H](CN)CC(=O)O,CHEMBL1059,4.8,10.23,Zwitterionic,1.5,,0.7781513227660513,1.5118833743417812,0.5682018414438662,,0.9542425094393248,-2.9995654882259823,0.1760915485852393,PREGABALIN,1.0821,159.229,Class I/III (High Solubility)
622,622,ADEFOVIR DIPIVOXIL,142340-99-6,2002,,, 1644 ,ORAL ,,,,,,,,,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,CHEMBL922,,3.75,Neutral,,,,,,,,,,ADEFOVIRDIPIVOXIL,2.702500000000001,501.47700000000026,Class I/III (High Solubility)
623,623,IBANDRONATE,114084-78-5,2003,,,,ORAL INTRAVENOUS INJECTION ,90.0,5.0,97.0,86.0,0.6,,,1,CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.O.[Na+],CHEMBL3989569,0.66,9.94,Zwitterionic,1.0,,1.9867717387435075,1.954242514264819,0.6989700911949065,,-2.21923513401367,0.7883704155653297,4.3429426472042774e-07,IBANDRONATE,-3.952699999999997,359.22800000000007,Class I/III (High Solubility)
624,624,ESZOPICLONE,138729-47-2,2004,,,,ORAL ,,,6.0,56.0,,,,1,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,CHEMBL1522,8.04,6.86,Neutral,1.0,,0.7781513227660513,,,,,0.1047353505200129,4.3429426472042774e-07,ESZOPICLONE,1.5679999999999998,388.8150000000001,Class I/III (High Solubility)
625,625,MEMANTINE,19982-08-2,2003,,,,ORAL ,650.0,6.4,70.0,45.0,,,,5,CC12CC3CC(C)(C1)CC(N)(C3)C2,CHEMBL807,,10.7,Cationic,5.0,,1.845098046218464,2.812913357311001,0.8061800418423947,,,-0.0871501757189001,0.6989700911949065,MEMANTINE,2.6941000000000006,179.307,Class I/III (High Solubility)
626,626,RANOLAZINE,95635-55-5,2006,,,,ORAL ,,,7.0,62.0,76.0,6.08,MICROMOLAR,3.5,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1.Cl.Cl,CHEMBL1404,13.6,6.77,Neutral,3.5,6.08,0.8450981020563213,,,0.7839036507027426,0.5006023505691853,0.2126080928814437,0.5440681684343956,RANOLAZINE,3.151640000000002,500.46700000000016,Class I/III (High Solubility)
627,627,NITAZOXANIDE,55981-09-4,2002,,, 1643 ,ORAL ,,,,,70.0,,,,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CHEMBL1401,10.62,,Neutral,,,,,,,0.3679767852945944,,,NITAZOXANIDE,2.2289000000000003,307.28700000000003,Class I/III (High Solubility)
628,628,EMTRICITABINE,143491-57-0,2003,,,,ORAL ,261.0,18.1,10.0,4.0,75.0,7.28,MICROMOLAR,1.5,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,CHEMBL885,,,Neutral,1.5,7.28,1.000000043429446,2.4166405090022445,1.257678598863354,0.8621314389688686,0.4771212547196624,-1.380211241711606,0.1760915485852393,EMTRICITABINE,-0.4550000000000003,247.251,Class I/III (High Solubility)
629,629,FOSAMPRENAVIR,226700-79-4,2003,,, 837 ,ORAL ,,,,,,,,,CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1,CHEMBL1664,1.22,2.45,Anionic,,,,,,,,,,FOSAMPRENAVIR,2.5198,585.6160000000002,Class I/III (High Solubility)
630,630,APREPITANT,170729-80-3,2003,, 1434 ,,ORAL INTRAVENOUS ,70.0,4.4,11.0,95.0,,6.9,MICROMOLAR, ;,C[C@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CHEMBL1471,6.59,3.63,Anionic,,6.9,1.0413927246395398,1.845098046218464,0.6434527751894676,0.83884915367848,,1.2787536009528289,,APREPITANT,4.952100000000003,534.4320000000001,Class I/III (High Solubility)
631,631,BISACODYL,603-50-9,2004,,,,ORAL ,,,,,,,, ;,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CHEMBL942,,4.08,Neutral,,,,,,,,,,BISACODYL,4.112400000000003,361.3970000000001,Class I/III (High Solubility)
632,632,TROSPIUM,47608-32-2,2004,,,,ORAL ,395.0,13.6,20.0,67.0,9.6,8.9,NANOMOLAR,5.5,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,CHEMBL1888176,11.05,,Neutral,5.5,0.0089,1.3010300173787048,2.59659709672594,1.133538940303634,-2.050561198963496,-0.973897197435795,0.3075608628229389,0.7403627684568698,TROSPIUM,3.769700000000003,392.519,Class I/III (High Solubility)
633,633,TINIDAZOLE,19387-91-8,2004,,,,ORAL ,50.0,2.34,13.2,12.0,,193.1,MICROMOLAR,1.6 ;,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,CHEMBL1220,,3.28,Neutral,1.6,193.1,1.1205739641069457,1.6989700130219083,0.3692160430060356,2.28578227602846,,-0.8653014261025438,0.2041202540898911,TINIDAZOLE,0.5344200000000001,247.276,Class I/III (High Solubility)
634,634,CINACALCET,226256-56-0,2004,,,,ORAL ,1000.0,19.8,35.0,95.0,,,,4,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,CHEMBL1201284,,10.01,Cationic,4.0,,1.5440680567586893,3.0000000004342944,1.2966652121955953,,,1.2787536009528289,0.6020600999015693,CINACALCET,6.142000000000005,357.41900000000004,Class II (Low Sol/High Perm)
635,635,NEBIVOLOL,118457-14-0,2007,,,,ORAL ,715.0,54.6,15.5,98.0,,,,2.75 ;,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,CHEMBL434394,13.52,8.9,Cationic,2.75,,1.1903317261892894,2.8543060424084854,1.7371926506588486,,,1.6901960800285136,0.4393328517555001,NEBIVOLOL,2.363600000000001,405.44100000000014,Class I/III (High Solubility)
636,636,ERLOTINIB,183321-74-6,2004,,,,ORAL ,232.0,4.4,36.2,93.0,100.0,,,,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,CHEMBL553,,4.62,Neutral,,,1.558708582530251,2.3654879867628584,0.6434527751894676,,2.999565488226007,1.1233849085396783,,ERLOTINIB,3.405100000000002,393.4430000000002,Class I/III (High Solubility)
637,637,ALVIMOPAN,156053-89-3,2008,,,,ORAL ,30.0,24.0,14.0,80.0,6.0,25.8,NANOMOLAR,2,C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1,CHEMBL270190,3.71,10.66,Zwitterionic,2.0,0.0258,1.1461280666992713,1.4771212691961448,1.3802112598072092,-1.5883634612435311,-1.1949766032160551,0.6020599913279624,0.3010302128111679,ALVIMOPAN,3.051400000000001,424.5410000000002,Class I/III (High Solubility)
638,638,RAMELTEON,196597-26-9,2005,,,,ORAL ,73.6,28.3,1.8,82.0,1.8,,,0.75,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,CHEMBL1218,,,Neutral,0.75,,0.2552727463779512,1.866877820238239,1.4517864508703848,,-1.7368389826836437,0.6585413472804106,-0.1249381575493767,RAMELTEON,2.5676000000000005,259.34899999999993,Class I/III (High Solubility)
639,639,DECITABINE,2353-33-5,2006,,,,INTRAVENOUS ORAL ,299.0,130.0,0.54,0.0,,644,NANOMOLAR,,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,CHEMBL1201129,13.89,,Neutral,,0.644,-0.2676054359287355,2.47567118977692,2.113943355647564,-0.1911134582703979,,-2.9995654882259823,,DECITABINE,-2.1388,228.208,Class I/III (High Solubility)
640,640,DAPSONE,80-08-0,1979,,,,TOPICAL ORAL ,54.0,1.8,22.0,75.0,,,, ;,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,CHEMBL1043,,2.39,Neutral,,,1.3424227005628642,1.7323937678654588,0.2552727463779512,,,0.4771212547196624,,DAPSONE,1.6838000000000002,248.307,Class I/III (High Solubility)
641,641,ENTECAVIR,142217-69-4,2005,,, 1640 ,ORAL ,4596.0,23.0,138.5,13.0,100.0,29.6,NANOMOLAR,1,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,CHEMBL5314362,10.17,0.74,Neutral,1.0,0.0296,2.1414497765361675,3.6623800201107417,1.3617278548999612,-1.5286936170780203,2.999565488226007,-0.8255759003117817,4.3429426472042774e-07,ENTECAVIR,-0.8278000000000001,277.284,Class I/III (High Solubility)
642,642,QUININE,130-95-0,2005,,,,ORAL ,312.0,11.0,11.0,80.0,82.0,9.8,MICROMOLAR,2.8,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O.O.O=S(=O)(O)O,CHEMBL170,13.89,9.05,Cationic,2.8,9.8,1.0413927246395398,2.494154595410412,1.0413927246395398,0.991226120008256,0.6585413472804106,0.6020599913279624,0.4471581864473636,QUININE,4.044200000000004,782.9570000000004,Class I/III (High Solubility)
643,643,TIPRANAVIR,174484-41-4,2005,,,,ORAL ,8.5,1.15,5.5,99.9,,94.8,MICROMOLAR,2.9,CCC[C@@]1(CCc2ccccc2)CC([O-])=C([C@H](CC)c2cccc([N-]S(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1.[Na+].[Na+],CHEMBL222559,4.43,,Anionic,2.9,94.8,0.7403627684568698,0.9294189768077582,0.0606982180008229,1.976808341919232,,2.999565488226007,0.4623981476556482,TIPRANAVIR,0.7291000000000019,646.6390000000001,Class I/III (High Solubility)
644,644,LENALIDOMIDE,191732-72-6,2005,,,,ORAL ,,,3.0,30.0,,,,3.25,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CHEMBL848,11.61,2.31,Neutral,3.25,,0.4771213994844656,,,,,-0.3679767852945944,0.5118834946079251,LENALIDOMIDE,0.0297999999999998,259.265,Class I/III (High Solubility)
645,645,DEFERASIROX,201530-41-8,2005,,,,ORAL ,14.0,0.8,12.0,99.0,70.0,,,2.75 ;,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,CHEMBL550348,4.51,,Anionic,2.75,,1.07918128223883,1.1461280666992713,-0.0969094701402932,,0.3679767852945944,1.99563519459755,0.4393328517555001,DEFERASIROX,3.710700000000001,373.3680000000001,Class I/III (High Solubility)
646,646,TETRABENAZINE,58-46-8,2008,,, 1637  1638 ,ORAL ,,,,84.0,75.0,,,,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,CHEMBL117785,,7.33,Neutral,,,,,,,0.4771212547196624,0.7201593034059569,,TETRABENAZINE,3.238100000000002,317.4290000000001,Class I/III (High Solubility)
647,647,LUBIPROSTONE,333963-40-9,2006,,,,ORAL ,,,,94.0,,,,,CCCCC(F)(F)[C@@]1(O)CC[C@H]2[C@@H](CC(=O)[C@@H]2CCCCCCC(=O)O)O1,CHEMBL1201134,4.3,,Anionic,,,,,,,,1.194976603216055,,LUBIPROSTONE,4.309900000000003,390.4670000000003,Class I/III (High Solubility)
648,648,VARENICLINE,249296-44-4,2006,,,,ORAL NASAL ,415.0,,24.0,20.0,90.0,,,3.5,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,CHEMBL1076903,,9.73,Cationic,3.5,,1.3802112598072092,2.6180480977585856,,,0.9542425094393248,-0.6020599913279624,0.5440681684343956,VARENICLINE,1.8039,211.26799999999997,Class I/III (High Solubility)
649,649,DASATINIB,302962-49-8,2006,,,,ORAL ,2505.0,433.0,4.0,96.0,,,,,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,CHEMBL5416410,8.52,7.19,Neutral,,,0.6020600999015693,3.398807730376636,2.636487897356355,,,1.380211241711606,,DASATINIB,3.313540000000001,488.01700000000034,Class I/III (High Solubility)
650,650,VORINOSTAT,149647-78-9,2006,,,,ORAL ,32.5,109.0,2.0,71.0,,1.2,MICROMOLAR,4,O=C(CCCCCCC(=O)Nc1ccccc1)NO,CHEMBL98,8.91,,Neutral,4.0,1.2,0.3010302128111679,1.5118833743417812,2.0374265019249767,0.0791816079595422,,0.3888603508201191,0.6020600999015693,VORINOSTAT,2.4711,264.32500000000005,Class I/III (High Solubility)
651,651,PALIPERIDONE,144598-75-4,2006,, 713  1487  1488 ,,ORAL ,391.0,10.8,25.0,74.0,,,,3,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,CHEMBL1621,13.74,8.76,Cationic,3.0,,1.3979400260438166,2.5921767585065942,1.0334237956994,,,0.4542583717601582,0.4771213994844656,PALIPERIDONE,9.113520000000005,664.9070000000002,Class IV (Low Sol/Low Perm)
652,652,POSACONAZOLE,171228-49-2,2006,,,,ORAL INTRAVENOUS ,1774.0,32.0,37.0,98.0,,731,NANOMOLAR,4,CC[C@@H]([C@H](C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@@H]5CO[C@@](Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,CHEMBL1397,,3.93,Neutral,4.0,0.731,1.5682017358046836,3.2489536157405183,1.5051499918916085,-0.1360820289324475,,1.6901960800285136,0.6020600999015693,POSACONAZOLE,4.573200000000004,700.7910000000002,Class I/III (High Solubility)
653,653,TELBIVUDINE,3424-98-4,2006,DISCONTINUED,,,ORAL ,,,44.5,3.3,,15.2,MICROMOLAR,2,Cc1cn([C@@H]2C[C@@H](O)[C@H](CO)O2)c(=O)[nH]c1=O,CHEMBL374731,9.96,,Neutral,2.0,15.2,1.648360020740358,,,1.181843616516777,,-1.466912534205114,0.3010302128111679,TELBIVUDINE,-1.5142799999999992,242.231,Class I/III (High Solubility)
654,654,MARAVIROC,376348-65-1,2007,,,,ORAL ,194.0,8.4,16.0,76.0,28.0,1.73,MICROMOLAR,2.25,Cc1nnc(C(C)C)n1[C@@H]1C[C@H]2CC[C@@H](C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,CHEMBL256907,13.98,9.35,Cationic,2.25,1.73,1.204120009799329,2.287801732168857,0.9242793377636026,0.2380463541659956,-0.4101744650890492,0.5006023505691853,0.3521827111310893,MARAVIROC,5.950920000000006,513.6770000000002,Class IV (Low Sol/Low Perm)
655,655,ESTROPIPATE,481-97-0,1977,,, 11 ,ORAL VAGINAL ,,,,,,,,,C1CNCCN1.C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O,CHEMBL1200980,-1.75,,Anionic,,,,,,,,,,ESTROPIPATE,2.4726,436.5740000000003,Class I/III (High Solubility)
656,656,DIMENHYDRINATE,85-18-7,1972,,,,INJECTION ORAL ,,,,,,,, ;,CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,CHEMBL1200406,,,Neutral,,,,,,,,,,DIMENHYDRINATE,2.967900000000001,469.9730000000002,Class I/III (High Solubility)
657,657,DOXYCYCLINE,564-25-0,1967,,,,ORAL INJECTION PERIODONTAL ,44.8,1.8,20.0,90.0,,5.8,MICROMOLAR,2,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,CHEMBL1200699,2.92,7.46,Zwitterionic,2.0,5.8,1.3010300173787048,1.651278023692217,0.2552727463779512,0.7634280684412897,,0.9542425094393248,0.3010302128111679,DOXYCYCLINE,-1.172299999999998,462.4550000000002,Class I/III (High Solubility)
658,658,ERYTHROMYCIN,114-07-8,1964,, 965  966 ,,INJECTION OPHTHALMIC TOPICAL ORAL,61.7,21.8,2.0,90.0,,2.29,MICROMOLAR,3 ;,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O.O=C(O)[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,CHEMBL532,12.45,8.38,Cationic,3.0,2.29,0.3010302128111679,1.79028517107205,1.3384565135263695,0.3598356719880919,,0.9542425094393248,0.4771213994844656,ERYTHROMYCIN,-3.8833,1092.2330000000009,Class I/III (High Solubility)
659,659,ERYTHROMYCIN ESTOLATE,3521-62-8,1967,DISCONTINUED,, 964 ,ORAL ,,,,,,,, ;,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C.CCCCCCCCCCCCOS(=O)(=O)O,CHEMBL2218877,12.68,7.87,Cationic,,,,,,,,,,ERYTHROMYCINESTOLATE,6.47320000000001,1056.403999999999,Class IV (Low Sol/Low Perm)
660,660,ERYTHROMYCIN ETHYLSUCCINATE,8000-15-5,1965,,, 964 ,ORAL ,,,,,,,,,CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C,CHEMBL1200688,12.68,7.87,Cationic,,,,,,,,,,ERYTHROMYCINETHYLSUCCINATE,2.6798000000000077,862.064,Class I/III (High Solubility)
661,661,DICLOXACILLIN,3116-76-5,1968,,,,ORAL ,7.1,7.8,0.88,96.0,,,, ;,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],CHEMBL893,3.75,,Anionic,,,-0.055516834333655,0.8512584098873078,0.8920946583692566,,,1.380211241711606,,DICLOXACILLIN,-1.9532799999999988,510.3310000000002,Class I/III (High Solubility)
662,662,NEOMYCIN,1404-04-2,1954,,,,OPHTHALMIC TOPICAL OTIC ORAL IRRIGATION,,,,,,,, ;,NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CN)C(O)C(O)C3N)C2O)C(N)C(O)C1O,CHEMBL3989751,,,Neutral,,,,,,,,,,NEOMYCIN,-8.895300000000017,614.6500000000003,Class I/III (High Solubility)
663,663,GRISEOFULVIN,126-07-8,1962,,,,ORAL ,45.5,,16.5,80.0,,1.9,MICROMOLAR,4,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,CHEMBL562,,,Neutral,4.0,1.9,1.2174839705347833,1.658011406202046,,0.2787538295288119,,0.6020599913279624,0.6020600999015693,GRISEOFULVIN,2.8103000000000007,352.7700000000001,Class I/III (High Solubility)
664,664,HETACILLIN,3511-16-8,1971,DISCONTINUED,,,ORAL ,,,,,,,, ;,CC1(C)S[C@@H]2[C@H](N3C(=O)[C@@H](c4ccccc4)NC3(C)C)C(=O)N2[C@H]1C(=O)O,CHEMBL1201116,3.33,4.79,Anionic,,,,,,,,,,HETACILLIN,1.4111,389.4770000000002,Class I/III (High Solubility)
665,665,BACAMPICILLIN,50972-17-3,1980,DISCONTINUED,, 973 ,ORAL ,,,,,,,, ;,CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,CHEMBL1583,11.72,7.23,Neutral,,,,,,,,,,BACAMPICILLIN,1.2958000000000012,465.5280000000002,Class I/III (High Solubility)
666,666,AMPICILLIN,69-53-4,1965,, 972  1020 ,,INJECTION INTRAVENOUS ORAL ,14.0,10.9,1.0,28.0,,429,MICROMOLAR,0.25,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,CHEMBL174,3.24,7.23,Anionic,0.25,429.0,4.3429426472042774e-07,1.1461280666992713,1.0374265377841525,2.632457293197066,,-0.4101744650890492,-0.6020582541535092,AMPICILLIN,0.3181000000000002,349.4120000000001,Class I/III (High Solubility)
667,667,CHLORAMPHENICOL,56-75-7,1950,DISCONTINUED, 975 ,,OPHTHALMIC INJECTION TOPICAL OTIC ORAL ,61.0,9.3,4.6,66.0,,,, ;,O=C([O-])CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1.[Na+],CHEMBL130,8.69,,Neutral,,,0.6627579260934077,1.7853298421303487,0.968482995252264,,,0.2880650184996135,,CHLORAMPHENICOL,-3.0059999999999967,445.1870000000001,Class I/III (High Solubility)
668,668,CHLORAMPHENICOL PALMITATE,530-43-8,0,DISCONTINUED,, 974 ,ORAL ,,,,,,,, ;,CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,CHEMBL1506,9.07,,Neutral,,,,,,,,,,CHLORAMPHENICOLPALMITATE,6.941200000000008,561.5470000000001,Class IV (Low Sol/Low Perm)
669,669,NAFCILLIN,147-52-4,1965,,,,ORAL INJECTION ,14.3,12.8,0.75,89.0,,72.4,MICROMOLAR,0.083 ;,CCOc1ccc2ccccc2c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],CHEMBL1443,3.31,,Anionic,0.083,72.4,-0.1249381575493767,1.1553360678353042,1.1072100035771235,1.8597385721956892,,0.9079973214866878,-1.0809166751918091,NAFCILLIN,-2.671599999999996,454.4800000000002,Class I/III (High Solubility)
670,670,OXACILLIN,66-79-5,1971,,,,ORAL INJECTION INTRAVENOUS ,12.3,24.5,0.5,94.0,,107,MICROMOLAR,0.083 ;,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],CHEMBL819,3.75,,Anionic,0.083,107.0,-0.3010291270758859,1.0899051467478909,1.3891661020908377,2.0293837817440363,,1.194976603216055,-1.0809166751918091,OXACILLIN,-3.2600799999999968,441.4410000000002,Class I/III (High Solubility)
