ORIG_INDEX,Unnamed: 0,Name,CAS,Year,Status,Is_a_Metabolite,Has_a_Metabolite,Route,VD(liter),Cl(liter/hour),t1/2(hour),PPB(percentage),F(percentage),Cmax,Cmax_unit,Tmax(hour),SMILES,ChEMBL_ID,pKa_acidic_cx,pKa_basic_cx,IonType,Tmax,Cmax_uM,log_t1/2(hour),log_VD(liter),log_Cl(liter/hour),log_Cmax_uM,logit_F(percentage),logit_PPB(percentage),log_Tmax,NAME_NORM,LogP,MW,BCS_Candidate
481,481,TERBINAFINE,91161-71-6,1992,,,,TOPICAL ORAL ,818.0,27.0,21.0,99.0,70.0,23.5,NANOMOLAR,2,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12.Cl,CHEMBL822,,8.86,Cationic,2.0,0.0235,1.3222193154146085,2.912753304202245,1.4313637802439678,-1.628913657505206,0.3679767852945944,1.99563519459755,0.3010302128111679,TERBINAFINE,5.2991000000000055,327.89899999999994,Class II (Low Sol/High Perm)
482,482,ZALCITABINE,7481-89-2,1992,DISCONTINUED,, 1684 ,ORAL ,34.7,17.1,2.0,,80.0,119.4,NANOMOLAR,0.8,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,CHEMBL853,,,Neutral,0.8,0.1194,0.3010302128111679,1.5403294873065647,1.2329961357894912,-0.9229920359146626,0.6020599913279624,,-0.0969094701402932,ZALCITABINE,-0.5046000000000002,211.221,Class I/III (High Solubility)
483,483,CISAPRIDE,81098-60-4,1993,DISCONTINUED,,,ORAL ,180.0,6.0,4.0,98.0,37.5,,,1.25,COc1cc(N)c(Cl)cc1C(=O)N[C@H]1CCN(CCCOc2ccc(F)cc2)C[C@H]1OC,CHEMBL1729,,8.24,Cationic,1.25,,0.6020600999015693,2.2552725075160533,0.7781513227660513,,-0.2218487496163564,1.6901960800285136,0.0969103604435029,CISAPRIDE,3.358100000000002,465.9530000000003,Class I/III (High Solubility)
484,484,CANDESARTAN CILEXETIL,145040-37-5,1998,,, 1557 ,ORAL ,,,,,,,,,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CHEMBL1014,5.85,1.45,Anionic,,,,,,,,,,CANDESARTANCILEXETIL,6.319100000000007,610.6710000000002,Class IV (Low Sol/Low Perm)
485,485,CLADRIBINE,4291-63-8,1993,,, 1682 ,INJECTION ORAL ,292.5,63.5,5.4,20.0,,,, ;,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,CHEMBL1619,13.89,2.22,Neutral,,,0.7323938402478651,2.4661258719029666,1.802773732131259,,,-0.6020599913279624,,CLADRIBINE,-0.2974000000000004,285.69100000000003,Class I/III (High Solubility)
486,486,GABAPENTIN,60142-96-3,1993,, 1507  1508 ,,ORAL ,76.0,7.6,5.5,3.0,75.0,16.26,MICROMOLAR,,CC(OC(=O)NCC1(CC(=O)O)CCCCC1)OC(=O)C(C)C,CHEMBL940,4.63,9.91,Zwitterionic,,16.26,0.7403627684568698,1.8808135979951923,0.8808136494247983,1.2111205679674264,0.4771212547196624,-1.5096504795465824,,GABAPENTIN,2.683,329.39300000000003,Class I/III (High Solubility)
487,487,GRANISETRON,109889-09-0,1993,,,,INJECTION ORAL TRANSDERMAL SUBCUTANEOUS,197.0,51.3,4.9,65.0,,206,NANOMOLAR,,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2.Cl,CHEMBL289469,,9.0,Cationic,,0.206,0.6901961686600315,2.294466228366133,1.7101173735775954,-0.6861306714103234,,0.2688453122925799,,GRANISETRON,2.740200000000001,348.8780000000001,Class I/III (High Solubility)
488,488,SPIRAPRIL,83647-97-6,0,DISCONTINUED,, 1681 ,ORAL ,,,,,,,, ;,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2.Cl,CHEMBL431,3.62,5.2,Anionic,,,,,,,,,,SPIRAPRIL,2.812600000000001,503.0860000000003,Class I/III (High Solubility)
489,489,LAMOTRIGINE,84057-84-1,1994,,,,ORAL ,71.5,2.2,25.4,55.0,98.0,,,1.7,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,CHEMBL741,,5.89,Neutral,1.7,,1.4048337337181456,1.8543060478751288,0.3424228782287441,,1.6901960800285136,0.0871501757189002,0.230449176845541,LAMOTRIGINE,2.0098,256.09599999999995,Class I/III (High Solubility)
490,490,FLUVOXAMINE,54739-18-3,1994,,,,ORAL ,1625.0,72.0,15.6,80.0,53.0,1.71,MICROMOLAR,5.5,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,CHEMBL814,,8.86,Cationic,5.5,1.71,1.1931246261938506,3.2108533655821514,1.857332502463136,0.2329963643654607,0.0521780116650715,0.6020599913279624,0.7403627684568698,FLUVOXAMINE,3.201500000000001,318.339,Class I/III (High Solubility)
491,491,HALOFANTRINE,69756-53-2,1992,DISCONTINUED,,,ORAL ,,,192.0,,,9.8,MICROMOLAR,,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl,CHEMBL1107,,10.05,Cationic,,9.8,2.2833012309655,,,0.991226120008256,,,,HALOFANTRINE,9.066099999999995,536.8930000000001,Class IV (Low Sol/Low Perm)
